	date	message_from_name	email_mentioned_person	email_from_party
0	2014-10-23	Conservative Party of Canada	Stephen Harper	Conservative Party
1	2014-10-23	Conservative Party of Canada	Nathan Cirillo	Conservative Party
2	2014-10-23	Conservative Party of Canada	Cirillo	Conservative Party
3	2014-10-23	Conservative Party of Canada	Patrice Vincent	Conservative Party
4	2014-10-23	Conservative Party of Canada	Cirillo	Conservative Party
5	2014-10-23	Conservative Party of Canada	Laureen	Conservative Party
6	2014-10-23	Conservative Party of Canada	Ben	Conservative Party
7	2014-10-23	Conservative Party of Canada	Rachel	Conservative Party
8	2014-10-30	Jaime Girard, Conservative Party of Canada	Jaime Girard	Conservative Party
9	2014-10-31	Erin O'Toole, MP	Stephen Harper	Conservative Party
10	2014-10-31	Erin O'Toole, MP	Dad	Conservative Party
11	2014-10-31	Erin O'Toole, MP	Erin O’Toole MP	Conservative Party
12	2014-11-03	Conservative Party of Canada	Justin Trudeau	Conservative Party
13	2014-11-03	Conservative Party of Canada	Thomas Mulcair	Conservative Party
14	2014-11-03	Conservative Party of Canada	Justin Trudeau	Conservative Party
15	2014-11-03	Conservative Party of Canada	Thomas Mulcair	Conservative Party
16	2014-11-04	Dustin Van Vugt, Conservative Party of Canada	Justin Trudeau	Conservative Party
17	2014-11-04	Dustin Van Vugt, Conservative Party of Canada	Dustin Van Vugt	Conservative Party
18	2014-11-05	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
19	2014-11-05	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
20	2014-11-05	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
21	2014-11-05	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
22	2014-11-06	Pierre Poilievre, MP	Mike	Conservative Party
23	2014-11-06	Pierre Poilievre, MP	Stephen Harper	Conservative Party
24	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
25	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
26	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
27	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
28	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
29	2014-11-06	Pierre Poilievre, MP	Stephen Harper	Conservative Party
30	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
31	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
32	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
33	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
34	2014-11-06	Pierre Poilievre, MP	Pierre Poilievre	Conservative Party
35	2014-11-06	Pierre Poilievre, MP	Nepean-Carleton	Conservative Party
36	2014-11-08	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
37	2014-11-08	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
38	2014-11-08	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
39	2014-11-09	Cory Hann, Conservative Party of Canada	Mike	Conservative Party
40	2014-11-09	Cory Hann, Conservative Party of Canada	Cory Hann	Conservative Party
41	2014-11-09	Cory Hann, Conservative Party of Canada	Justin Trudeau	Conservative Party
42	2014-11-10	Chris Alexander, MP	Mike	Conservative Party
43	2014-11-10	Chris Alexander, MP	Stephen Harper	Conservative Party
44	2014-11-10	Chris Alexander, MP	Chris Alexander	Conservative Party
45	2014-11-10	Chris Alexander, MP	Ajax-Pickering	Conservative Party
46	2014-11-11	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
47	2014-11-11	Fred DeLorey, Conservative Party of Canada	Stephen Harper	Conservative Party
48	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
49	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau's	Conservative Party
50	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
51	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau's	Conservative Party
52	2014-11-11	Fred DeLorey, Conservative Party of Canada	Harper	Conservative Party
53	2014-11-11	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
54	2014-11-14	Kevin Sorenson, MP	Mike	Conservative Party
55	2014-11-14	Kevin Sorenson, MP	Joe Oliver	Conservative Party
56	2014-11-14	Kevin Sorenson, MP	Stephen Harper	Conservative Party
57	2014-11-14	Kevin Sorenson, MP	Harper	Conservative Party
58	2014-11-14	Kevin Sorenson, MP	Kevin Sorenson	Conservative Party
59	2014-11-14	Kevin Sorenson, MP	Crowfoot	Conservative Party
60	2014-11-16	Ted Opitz, MP	Mike	Conservative Party
61	2014-11-16	Ted Opitz, MP	Stephen Harper	Conservative Party
62	2014-11-16	Ted Opitz, MP	Ted Opitz	Conservative Party
63	2014-11-18	Stephanie Dunlop, Conservative Party of Canada	Mike	Conservative Party
64	2014-11-18	Stephanie Dunlop, Conservative Party of Canada	Stephanie Dunlop	Conservative Party
65	2014-11-19	Conservative Party of Canada	Mike	Conservative Party
66	2014-11-19	Conservative Party of Canada	Pat Perkins	Conservative Party
67	2014-11-19	Conservative Party of Canada	Jim Eglinski	Conservative Party
68	2014-11-20	Candice Bergen, MP	Mike	Conservative Party
69	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
70	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
71	2014-11-20	Candice Bergen, MP	PM Harper	Conservative Party
72	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
73	2014-11-20	Candice Bergen, MP	Chatelaine	Conservative Party
74	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
75	2014-11-20	Candice Bergen, MP	PM Harper	Conservative Party
76	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
77	2014-11-20	Candice Bergen, MP	PM Harper	Conservative Party
78	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
79	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
80	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
81	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
82	2014-11-20	Candice Bergen, MP	Stephen Harper	Conservative Party
83	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
84	2014-11-20	Candice Bergen, MP	Justin Trudeau?	Conservative Party
85	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
86	2014-11-20	Candice Bergen, MP	Candice Bergen	Conservative Party
87	2014-11-20	Candice Bergen, MP	Portage-Lisgar	Conservative Party
88	2014-11-21	Cory Hann, Conservative Party of Canada	Mike	Conservative Party
89	2014-11-21	Cory Hann, Conservative Party of Canada	Sid Ryan	Conservative Party
90	2014-11-21	Cory Hann, Conservative Party of Canada	Harper	Conservative Party
91	2014-11-21	Cory Hann, Conservative Party of Canada	Sid Ryan	Conservative Party
92	2014-11-21	Cory Hann, Conservative Party of Canada	Harper	Conservative Party
93	2014-11-21	Cory Hann, Conservative Party of Canada	Cory Hann	Conservative Party
94	2014-11-22	Fred DeLorey, Conservative Party of Canada	Harper	Conservative Party
95	2014-11-22	Fred DeLorey, Conservative Party of Canada	Vladimir Putin	Conservative Party
96	2014-11-22	Fred DeLorey, Conservative Party of Canada	Harper	Conservative Party
97	2014-11-22	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
98	2014-11-22	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
99	2014-11-22	Fred DeLorey, Conservative Party of Canada	Putin	Conservative Party
100	2014-11-22	Fred DeLorey, Conservative Party of Canada	Trudeau	Conservative Party
101	2014-11-22	Fred DeLorey, Conservative Party of Canada	Justin	Conservative Party
102	2014-11-22	Fred DeLorey, Conservative Party of Canada	Harper	Conservative Party
103	2014-11-22	Fred DeLorey, Conservative Party of Canada	PM Harper	Conservative Party
104	2014-11-22	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
105	2014-11-26	Shameer Ravji, Conservative Party of Canada	Shameer	Conservative Party
106	2014-11-26	Shameer Ravji, Conservative Party of Canada	Jaime	Conservative Party
107	2014-11-26	Shameer Ravji, Conservative Party of Canada	Mike	Conservative Party
108	2014-11-26	Shameer Ravji, Conservative Party of Canada	Shameer Ravji	Conservative Party
109	2014-11-27	Conservative Party of Canada	Mike	Conservative Party
110	2014-11-27	Conservative Party of Canada	Mike	Conservative Party
111	2014-11-28	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
112	2014-11-29	Rona Ambrose, MP	Mike	Conservative Party
113	2014-11-29	Rona Ambrose, MP	Justin Trudeau	Conservative Party
114	2014-11-29	Rona Ambrose, MP	Rona Ambrose	Conservative Party
115	2014-11-30	Simon Thompson, Conservative Party of Canada	Mike	Conservative Party
116	2014-11-30	Simon Thompson, Conservative Party of Canada	Simon Thompson	Conservative Party
117	2014-12-02	Jaime Girard, Conservative Party of Canada	Mike	Conservative Party
118	2014-12-02	Jaime Girard, Conservative Party of Canada	Mike Smit	Conservative Party
119	2014-12-02	Jaime Girard, Conservative Party of Canada	Harper	Conservative Party
120	2014-12-02	Jaime Girard, Conservative Party of Canada	Jaime Girard	Conservative Party
121	2014-12-04	Chris Alexander, MP	Mike	Conservative Party
122	2014-12-04	Chris Alexander, MP	Chris Alexander	Conservative Party
123	2014-12-04	Chris Alexander, MP	Ajax	Conservative Party
124	2014-12-04	Chris Alexander, MP	Pickering	Conservative Party
125	2014-12-04	Rona Ambrose, MP	Mike	Conservative Party
126	2014-12-04	Rona Ambrose, MP	Mike	Conservative Party
127	2014-12-04	Rona Ambrose, MP	Rona Ambrose	Conservative Party
128	2014-12-04	Rona Ambrose, MP	Spruce Grove	Conservative Party
129	2014-12-04	Tony Clement, MP	Mike	Conservative Party
130	2014-12-04	Tony Clement, MP	Tony Clement	Conservative Party
131	2014-12-04	Tony Clement, MP	Parry Sound	Conservative Party
132	2014-12-05	Jaime Girard, Conservative Party of Canada	Mike	Conservative Party
133	2014-12-05	Jaime Girard, Conservative Party of Canada	Irving Gerstein	Conservative Party
134	2014-12-05	Jaime Girard, Conservative Party of Canada	Jaime Girard	Conservative Party
135	2014-12-07	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
136	2014-12-07	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
137	2014-12-07	Fred DeLorey, Conservative Party of Canada	Harper	Conservative Party
138	2014-12-07	Fred DeLorey, Conservative Party of Canada	Sid Ryan	Conservative Party
139	2014-12-07	Fred DeLorey, Conservative Party of Canada	Justin Trudeau's	Conservative Party
140	2014-12-07	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
141	2014-12-09	Dustin van Vugt, Conservative Party of Canada	Mike	Conservative Party
142	2014-12-09	Dustin van Vugt, Conservative Party of Canada	George	Conservative Party
143	2014-12-09	Dustin van Vugt, Conservative Party of Canada	Jack	Conservative Party
144	2014-12-09	Dustin van Vugt, Conservative Party of Canada	Dustin van Vugt	Conservative Party
145	2014-12-10	Conservative Party of Canada	Mike	Conservative Party
146	2014-12-10	Conservative Party of Canada	Stephen Harper	Conservative Party
147	2014-12-10	Conservative Party of Canada	Justin Trudeau	Conservative Party
148	2014-12-10	Conservative Party of Canada	Thomas Mulcair	Conservative Party
149	2014-12-14	Irving Gerstein, Conservative Fund of Canada	Mike	Conservative Party
150	2014-12-14	Irving Gerstein, Conservative Fund of Canada	Irving Gerstein	Conservative Party
151	2014-12-14	Irving Gerstein, Conservative Fund of Canada	Harper	Conservative Party
152	2014-12-15	Kevin Sorenson, MP	Mike	Conservative Party
153	2014-12-15	Kevin Sorenson, MP	Stephen Harper's	Conservative Party
154	2014-12-15	Kevin Sorenson, MP	Kevin Sorenson	Conservative Party
155	2014-12-15	Kevin Sorenson, MP	Crowfoot	Conservative Party
156	2014-12-16	Conservative Party of Canada	Mike	Conservative Party
157	2014-12-17	Jaime Girard, Conservative Party of Canada	Mike	Conservative Party
158	2014-12-18	Kelly Block, MP	Mike	Conservative Party
159	2014-12-18	Kelly Block, MP	Harper	Conservative Party
160	2014-12-18	Kelly Block, MP	Kelly Block	Conservative Party
161	2014-12-18	Kelly Block, MP	Biggar	Conservative Party
162	2014-12-19	Rodney Weston, MP	Mike	Conservative Party
163	2014-12-19	Rodney Weston, MP	Justin Trudeau's	Conservative Party
164	2014-12-19	Rodney Weston, MP	Trudeau	Conservative Party
165	2014-12-19	Rodney Weston, MP	Justin	Conservative Party
166	2014-12-19	Rodney Weston, MP	Rodney Weston	Conservative Party
167	2014-12-19	Rodney Weston, MP	Saint John	Conservative Party
168	2014-12-21	Ryan Leef, MP	Mike	Conservative Party
169	2014-12-21	Ryan Leef, MP	Ryan Leef	Conservative Party
170	2014-12-21	Ryan Leef, MP	Yukon	Conservative Party
171	2014-12-23	Bal Gosal, MP	Mike	Conservative Party
172	2014-12-23	Bal Gosal, MP	Stephen Harper	Conservative Party
173	2014-12-23	Bal Gosal, MP	Bal Gosal	Conservative Party
174	2014-12-23	Bal Gosal, MP	Bramalea—Gore	Conservative Party
175	2014-12-23	Bal Gosal, MP	Malton	Conservative Party
176	2014-12-24	Larry Maguire, MP	Mike	Conservative Party
177	2014-12-24	Larry Maguire, MP	Harper	Conservative Party
178	2014-12-24	Larry Maguire, MP	Justin Trudeau	Conservative Party
179	2014-12-24	Larry Maguire, MP	Harper	Conservative Party
180	2014-12-24	Larry Maguire, MP	Justin Trudeau	Conservative Party
181	2014-12-24	Larry Maguire, MP	Thomas Mulcair	Conservative Party
182	2014-12-24	Larry Maguire, MP	Larry Maguire	Conservative Party
183	2014-12-24	Larry Maguire, MP	Brandon	Conservative Party
184	2014-12-24	Larry Maguire, MP	Souris	Conservative Party
185	2014-12-28	Cory Hann, Conservative Party of Canada	Mike	Conservative Party
186	2014-12-29	Lawrence Toet, MP	Mike	Conservative Party
187	2014-12-29	Lawrence Toet, MP	Stephen Harper	Conservative Party
188	2014-12-29	Lawrence Toet, MP	Justin Trudeau	Conservative Party
189	2014-12-29	Lawrence Toet, MP	Justin	Conservative Party
190	2014-12-29	Lawrence Toet, MP	Lawrence Toet	Conservative Party
191	2014-12-30	George Habchi, Conservative Party of Canada	Mike	Conservative Party
192	2014-12-30	George Habchi, Conservative Party of Canada	Trudeau	Conservative Party
193	2014-12-30	George Habchi, Conservative Party of Canada	Trudeau	Conservative Party
194	2014-12-30	George Habchi, Conservative Party of Canada	Harper	Conservative Party
195	2014-12-30	George Habchi, Conservative Party of Canada	George Habchi	Conservative Party
196	2014-12-31	Conservative Party of Canada	Mike	Conservative Party
197	2014-12-31	Conservative Party of Canada	Stephen Harper	Conservative Party
198	2014-12-31	Fred DeLorey, CPC	Mike	Conservative Party
199	2014-12-31	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
200	2015-01-01	Wladyslaw Lizon, MP	Thomas Mulcair	Conservative Party
201	2015-01-01	Wladyslaw Lizon, MP	Justin Trudeau	Conservative Party
202	2015-01-01	Wladyslaw Lizon, MP	Stephen Harper	Conservative Party
203	2015-01-01	Wladyslaw Lizon, MP	Wladyslaw Lizon	Conservative Party
204	2015-01-01	Wladyslaw Lizon, MP	Mississauga East-Cooksville	Conservative Party
205	2015-01-01	Irving Gerstein, Conservative Fund Canada	Mike	Conservative Party
206	2015-01-09	Jaime Girard, CPC	Mike	Conservative Party
207	2015-01-09	Jaime Girard, CPC	Harper	Conservative Party
208	2015-01-09	Jaime Girard, CPC	Jaime Girard	Conservative Party
209	2015-01-14	Joe Oliver, MP	Mike	Conservative Party
210	2015-01-14	Joe Oliver, MP	Justin Trudeau	Conservative Party
211	2015-01-14	Joe Oliver, MP	Joe Oliver	Conservative Party
212	2015-01-14	Joe Oliver, MP	Eglinton-Lawrence	Conservative Party
213	2015-01-15	Jenni Byrne, CPC	Mike	Conservative Party
214	2015-01-15	Jenni Byrne, CPC	Harper	Conservative Party
215	2015-01-15	Jenni Byrne, CPC	Jenni Byrne	Conservative Party
216	2015-01-17	Gary Goodyear, MP	Mike	Conservative Party
217	2015-01-17	Gary Goodyear, MP	Kerry-Lynne Findlay	Conservative Party
218	2015-01-17	Gary Goodyear, MP	Findlay	Conservative Party
219	2015-01-17	Gary Goodyear, MP	Gary Goodyear	Conservative Party
220	2015-01-20	Denis Lebel, MP	Mike	Conservative Party
221	2015-01-20	Denis Lebel, MP	Harper	Conservative Party
222	2015-01-20	Denis Lebel, MP	Denis Lebel	Conservative Party
223	2015-01-20	Denis Lebel, MP	Roberval	Conservative Party
224	2015-01-20	Denis Lebel, MP	Lac-Saint-Jean	Conservative Party
225	2015-01-21	Fred DeLorey, CPC	Mike	Conservative Party
226	2015-01-21	Fred DeLorey, CPC	Justin Trudeau's	Conservative Party
227	2015-01-21	Fred DeLorey, CPC	Trudeau	Conservative Party
228	2015-01-21	Fred DeLorey, CPC	Justin Trudeau's	Conservative Party
229	2015-01-21	Fred DeLorey, CPC	Mike	Conservative Party
230	2015-01-21	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
231	2015-01-23	Rob Clarke, MP	Mike	Conservative Party
232	2015-01-23	Rob Clarke, MP	Justin Trudeau	Conservative Party
233	2015-01-23	Rob Clarke, MP	Rob Clarke	Conservative Party
234	2015-01-23	Rob Clarke, MP	Desnethé	Conservative Party
235	2015-01-23	Rob Clarke, MP	Missinippi	Conservative Party
236	2015-01-23	Rob Clarke, MP	Churchill River	Conservative Party
237	2015-01-24	Dustin van Vugt, CPC	Mike	Conservative Party
238	2015-01-24	Dustin van Vugt, CPC	Harper	Conservative Party
239	2015-01-24	Dustin van Vugt, CPC	Jenni Byrne	Conservative Party
240	2015-01-24	Dustin van Vugt, CPC	Dustin van Vugt	Conservative Party
241	2015-01-27	Leona Aglukkaq, MP	Mike	Conservative Party
242	2015-01-27	Leona Aglukkaq, MP	North	Conservative Party
243	2015-01-27	Leona Aglukkaq, MP	Leona Aglukkaq	Conservative Party
244	2015-01-28	Cory Hann, CPC	Mike	Conservative Party
245	2015-01-28	Cory Hann, CPC	Justin Trudeau	Conservative Party
246	2015-01-28	Cory Hann, CPC	Justin Trudeau	Conservative Party
247	2015-01-28	Cory Hann, CPC	Trudeau	Conservative Party
248	2015-01-28	Cory Hann, CPC	Harper	Conservative Party
249	2015-01-28	Cory Hann, CPC	Justin Trudeau	Conservative Party
250	2015-01-28	Cory Hann, CPC	Cory Hann	Conservative Party
251	2015-01-29	Jaime Girard, CPC	Mike	Conservative Party
252	2015-01-29	Jaime Girard, CPC	Justin Trudeau's	Conservative Party
253	2015-01-29	Jaime Girard, CPC	Jaime	Conservative Party
254	2015-01-31	Steven Blaney, MP	Mike	Conservative Party
255	2015-01-31	Steven Blaney, MP	Steven Blaney	Conservative Party
256	2015-01-31	Steven Blaney, MP	Lévis	Conservative Party
257	2015-01-31	Steven Blaney, MP	Bellechasse	Conservative Party
258	2015-02-06	Jaime Girard, Director, Fundraising and Membership Services	Mike	Conservative Party
259	2015-02-06	Jaime Girard, Director, Fundraising and Membership Services	Justin Trudeau's	Conservative Party
260	2015-02-06	Jaime Girard, Director, Fundraising and Membership Services	Mike	Conservative Party
261	2015-02-06	Jaime Girard, Director, Fundraising and Membership Services	Jaime Girard	Conservative Party
262	2015-02-07	Fred DeLorey, CPC	Mike	Conservative Party
263	2015-02-07	Fred DeLorey, CPC	Judy Sgro	Conservative Party
264	2015-02-07	Fred DeLorey, CPC	Sgro	Conservative Party
265	2015-02-07	Fred DeLorey, CPC	Harper	Conservative Party
266	2015-02-07	Fred DeLorey, CPC	Judy Sgro's	Conservative Party
267	2015-02-07	Fred DeLorey, CPC	Justin Trudeau	Conservative Party
268	2015-02-07	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
269	2015-02-07	Fred DeLorey, CPC	Harper	Conservative Party
270	2015-02-09	Fred DeLorey, CPC	Mike	Conservative Party
271	2015-02-09	Fred DeLorey, CPC	Heather Mallick	Conservative Party
272	2015-02-09	Fred DeLorey, CPC	Day	Conservative Party
273	2015-02-09	Fred DeLorey, CPC	Mallick	Conservative Party
274	2015-02-09	Fred DeLorey, CPC	Mallick	Conservative Party
275	2015-02-09	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
276	2015-02-10	David Yurdiga, MP	Mike	Conservative Party
277	2015-02-10	David Yurdiga, MP	Stephane Dion	Conservative Party
278	2015-02-10	David Yurdiga, MP	Michael Ignatieff	Conservative Party
279	2015-02-10	David Yurdiga, MP	Justin Trudeau	Conservative Party
280	2015-02-10	David Yurdiga, MP	Justin Trudeau	Conservative Party
281	2015-02-10	David Yurdiga, MP	Trudeau	Conservative Party
282	2015-02-10	David Yurdiga, MP	Justin Trudeau's	Conservative Party
283	2015-02-10	David Yurdiga, MP	Harper	Conservative Party
284	2015-02-10	David Yurdiga, MP	Justin Trudeau's	Conservative Party
285	2015-02-10	David Yurdiga, MP	David Yurdiga	Conservative Party
286	2015-02-10	David Yurdiga, MP	Fort McMurray	Conservative Party
287	2015-02-11	Susan Truppe, MP	Mike	Conservative Party
288	2015-02-11	Susan Truppe, MP	Justin Trudeau	Conservative Party
289	2015-02-11	Susan Truppe, MP	Justin Trudeau	Conservative Party
290	2015-02-11	Susan Truppe, MP	Justin Trudeau	Conservative Party
291	2015-02-11	Susan Truppe, MP	Justin Trudeau's	Conservative Party
292	2015-02-11	Susan Truppe, MP	PM Harper	Conservative Party
293	2015-02-11	Susan Truppe, MP	Mike	Conservative Party
294	2015-02-11	Susan Truppe, MP	Justin Trudeau's	Conservative Party
295	2015-02-11	Susan Truppe, MP	Susan Truppe	Conservative Party
296	2015-02-12	Conservative Party of Canada	Mike	Conservative Party
297	2015-02-12	Conservative Party of Canada	Justin Trudeau	Conservative Party
298	2015-02-12	Conservative Party of Canada	Harper	Conservative Party
299	2015-02-12	Conservative Party of Canada	Justin Trudeau	Conservative Party
300	2015-02-12	Conservative Party of Canada	Harper	Conservative Party
301	2015-02-12	Conservative Party of Canada	Justin Trudeau's	Conservative Party
302	2015-02-12	George Habchi, CPC	Mike	Conservative Party
303	2015-02-12	George Habchi, CPC	Harper	Conservative Party
304	2015-02-12	George Habchi, CPC	George Habchi	Conservative Party
305	2015-02-13	Jenni Byrne, National Campaign Manager	Mike	Conservative Party
306	2015-02-13	Jenni Byrne, National Campaign Manager	Justin Trudeau	Conservative Party
307	2015-02-13	Jenni Byrne, National Campaign Manager	Jenni Byrne	Conservative Party
308	2015-02-14	Ed Fast, MP	Mike	Conservative Party
309	2015-02-14	Ed Fast, MP	Ed Fast	Conservative Party
310	2015-02-18	Chris Alexander, MP	Mike	Conservative Party
311	2015-02-18	Chris Alexander, MP	Harper	Conservative Party
312	2015-02-18	Chris Alexander, MP	Chris Alexander	Conservative Party
313	2015-02-18	Chris Alexander, MP	Ajax — Pickering	Conservative Party
314	2015-02-20	George Habchi, CPC	Mike	Conservative Party
315	2015-02-20	George Habchi, CPC	George Habchi	Conservative Party
316	2015-02-21	Kevin Sorenson, MP	Mike	Conservative Party
317	2015-02-21	Kevin Sorenson, MP	Kevin Sorenson	Conservative Party
318	2015-02-21	Kevin Sorenson, MP	Crowfoot	Conservative Party
319	2015-02-23	Rona Ambrose, MP	Mike	Conservative Party
320	2015-02-23	Rona Ambrose, MP	Mike	Conservative Party
321	2015-02-23	Rona Ambrose, MP	Rona Ambrose	Conservative Party
322	2015-02-23	Rona Ambrose, MP	Spruce Grove	Conservative Party
323	2015-02-25	Fred DeLorey, CPC	Mike	Conservative Party
324	2015-02-25	Fred DeLorey, CPC	Justin Trudeau	Conservative Party
325	2015-02-25	Fred DeLorey, CPC	Justin Trudeau	Conservative Party
326	2015-02-25	Fred DeLorey, CPC	Trudeau	Conservative Party
327	2015-02-25	Fred DeLorey, CPC	Justin Trudeau's	Conservative Party
328	2015-02-25	Fred DeLorey, CPC	Trudeau	Conservative Party
329	2015-02-25	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
330	2015-02-25	Fred DeLorey, CPC	Justin Trudeau	Conservative Party
331	2015-02-26	Fred DeLorey, CPC	Mike	Conservative Party
332	2015-02-26	Fred DeLorey, CPC	Harper	Conservative Party
333	2015-02-26	Fred DeLorey, CPC	Justin Trudeau	Conservative Party
334	2015-02-26	Fred DeLorey, CPC	Justin	Conservative Party
335	2015-02-26	Fred DeLorey, CPC	Justin Trudeau	Conservative Party
336	2015-02-26	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
337	2015-02-28	Ed Fast, MP	Mike	Conservative Party
338	2015-02-28	Ed Fast, MP	Harper	Conservative Party
339	2015-02-28	Ed Fast, MP	Justin Trudeau	Conservative Party
340	2015-02-28	Ed Fast, MP	Mike	Conservative Party
341	2015-02-28	Ed Fast, MP	Harper	Conservative Party
342	2015-02-28	Ed Fast, MP	Ed Fast	Conservative Party
343	2015-03-01	Emrys Graefe, CPC	Harper	Conservative Party
344	2015-03-01	Emrys Graefe, CPC	Putin	Conservative Party
345	2015-03-01	Emrys Graefe, CPC	Trudeau	Conservative Party
346	2015-03-03	Tim Uppal, MP	Mike	Conservative Party
347	2015-03-03	Tim Uppal, MP	Justin Trudeau	Conservative Party
348	2015-03-03	Tim Uppal, MP	Thomas Mulcair	Conservative Party
349	2015-03-03	Tim Uppal, MP	Stephen Harper	Conservative Party
350	2015-03-03	Tim Uppal, MP	Justin Trudeau	Conservative Party
351	2015-03-03	Tim Uppal, MP	Tim Uppal	Conservative Party
352	2015-03-03	Tim Uppal, MP	Edmonton-Sherwood Park	Conservative Party
353	2015-03-04	David Wilks, MP	Mike	Conservative Party
354	2015-03-04	David Wilks, MP	David Wilks	Conservative Party
355	2015-03-04	David Wilks, MP	Kootenay	Conservative Party
356	2015-03-05	Roxanne James, MP	Mike	Conservative Party
357	2015-03-05	Roxanne James, MP	Roxanne James	Conservative Party
358	2015-03-06	Kelly Block, MP	Mike	Conservative Party
359	2015-03-06	Kelly Block, MP	Justin Trudeau	Conservative Party
360	2015-03-06	Kelly Block, MP	Justin Trudeau	Conservative Party
361	2015-03-06	Kelly Block, MP	Kelly Block	Conservative Party
362	2015-03-06	Kelly Block, MP	Saskatoon--Rosetown--Biggar	Conservative Party
363	2015-03-07	Fred DeLorey, CPC	Mike	Conservative Party
364	2015-03-07	Fred DeLorey, CPC	Yanukovych	Conservative Party
365	2015-03-07	Fred DeLorey, CPC	Fred DeLorey	Conservative Party
366	2015-03-11	Jaime Girard, CPC	Mike	Conservative Party
367	2015-03-11	Jaime Girard, CPC	Irving Gerstein	Conservative Party
368	2015-03-11	Jaime Girard, CPC	Justin Trudeau	Conservative Party
369	2015-03-11	Jaime Girard, CPC	Jaime Girard	Conservative Party
370	2015-03-11	Jaime Girard, CPC	Irving Gerstein	Conservative Party
371	2015-03-11	Jaime Girard, CPC	Jaime Girard	Conservative Party
372	2015-03-12	Candice Bergen, MP	Mike	Conservative Party
373	2015-03-12	Candice Bergen, MP	Candice Bergen	Conservative Party
374	2015-03-12	Candice Bergen, MP	Portage-Lisgar	Conservative Party
375	2015-03-13	Christian Paradis, MP	Mike	Conservative Party
376	2015-03-13	Christian Paradis, MP	Harper	Conservative Party
377	2015-03-13	Christian Paradis, MP	Bill Gates	Conservative Party
378	2015-03-13	Christian Paradis, MP	Christian Paradis	Conservative Party
379	2015-03-13	Christian Paradis, MP	Mégantic — L'Érable	Conservative Party
380	2015-03-14	Jenni Byrne, National Campaign Manager	Mike	Conservative Party
381	2015-03-14	Jenni Byrne, National Campaign Manager	Trudeau	Conservative Party
382	2015-03-14	Jenni Byrne, National Campaign Manager	Justin Trudeau	Conservative Party
383	2015-03-14	Jenni Byrne, National Campaign Manager	Thomas Mulcair	Conservative Party
384	2015-03-14	Jenni Byrne, National Campaign Manager	Thomas Mulcair	Conservative Party
